simulation_run|channel_efficiency|fairness_index
1|0,62924999999999998|0,999999898978573
2|0,71743333333333337|0,99994354643346983
3|0,6794|0,99996971633623599
4|0,79305833333333331|0,99984027397870512
5|0,8278416666666667|0,99958556137047105
1|0,62810833333333338|0,99999140295478517
2|0,71681666666666666|0,9999906427286378
3|0,68120000000000003|0,99994933811464304
4|0,79327499999999995|0,99995147121329686
5|0,82823333333333338|0,9997651260452709
1|0,62764166666666665|0,99999649530138301
2|0,7179416666666667|0,99995145553334752
3|0,68061666666666665|0,99998947818536954
4|0,79241666666666677|0,99986905344179022
5|0,82817499999999999|0,9997749324286801
1|0,62918333333333332|0,99999857908699274
2|0,71748333333333336|0,99998919781643403
3|0,68029166666666674|0,99992150772930743
4|0,79326666666666668|0,99993790740891519
5|0,82800833333333346|0,99976873883785267
1|0,62973333333333337|0,99999989913358545
2|0,71756666666666669|0,99999738677992034
3|0,68038333333333334|0,99992902887760937
4|0,79334166666666661|0,99990386526745456
5|0,82763333333333333|0,99961004166728995
1|0,62823333333333331|0,99999337789381837
2|0,71845833333333342|0,99995754439820184
3|0,6817833333333333|0,99992059649435028
4|0,79303333333333337|0,99974029014245436
5|0,82780833333333337|0,99972542329889313
1|0,62777499999999997|0,99998976567710618
2|0,71911666666666663|0,99997704202921145
3|0,68118333333333336|0,99997172619009145
4|0,7929166666666666|0,99986680152918161
5|0,82784999999999997|0,99981586502320841
1|0,62885833333333341|0,99999827891821258
2|0,7179416666666667|0,99992834861594693
3|0,68021666666666669|0,99990541873913552
4|0,79379999999999995|0,99982908075704502
5|0,82754166666666673|0,99957005257092124
1|0,62881666666666669|0,99999005192585599
2|0,71726666666666672|0,99999114201251127
3|0,68125000000000002|0,99993436553851445
4|0,79246666666666665|0,9998748606458534
5|0,82715000000000005|0,99972920497618067
1|0,62854166666666678|0,99998944891920327
2|0,71845833333333342|0,99995401451971588
3|0,68100833333333333|0,99995964074091359
4|0,79166666666666674|0,99988454385797576
5|0,82809166666666667|0,99974770467723328
