simulation_run|channel_efficiency|fairness_index
1|0,75284333333333331|0,99999954706565675
2|0,73751666666666671|0,9999559847191688
3|0,73137333333333332|0,99986738044100831
4|0,73020166666666675|0,9989137935190846
5|0,72165166666666669|0,99873548465936091
1|0,75027833333333327|0,99969624176973226
2|0,73932166666666677|0,99975766786788445
3|0,73162666666666676|0,99979795569038232
4|0,73235499999999998|0,99907279571036844
5|0,72275999999999996|0,9971477020644155
1|0,75198833333333337|0,99987921554306469
2|0,74144333333333334|0,99994754891612603
3|0,73495166666666678|0,99928509049243863
4|0,72868166666666667|0,99908145380893976
5|0,72687666666666673|0,99862487493831842
1|0,75138666666666665|0,99998430625382995
2|0,74261500000000003|0,9998593323017374
3|0,73191166666666674|0,9996678538584074
4|0,7293466666666667|0,99944195708592121
5|0,72063833333333338|0,9980471574515144
1|0,75642166666666666|0,99999705392896077
2|0,74141166666666669|0,99985185767185369
3|0,73191166666666674|0,99987322155113312
4|0,72890333333333335|0,9996285836863178
5|0,72823833333333332|0,99865038066928991
1|0,75468000000000002|0,99998168228035711
2|0,74264666666666668|0,99985152650430775
3|0,7369783333333334|0,99989778800595541
4|0,72367833333333342|0,99951730278930484
5|0,72725666666666677|0,99881160775328026
1|0,75176666666666681|0,99999743784941275
2|0,7416016666666666|0,99989902187719182
3|0,73653500000000005|0,99964796563083447
4|0,72944166666666665|0,99937043819458937
5|0,72589499999999996|0,99897471542532279
1|0,74600333333333335|0,99996954934457016
2|0,73973333333333335|0,99993275750084065
3|0,72997999999999996|0,99939886518312726
4|0,72358333333333336|0,99931429437800867
5|0,72329833333333327|0,99896463967586535
1|0,75141833333333341|0,99999701456552115
2|0,73897333333333337|0,99993823018113892
3|0,73545833333333333|0,99986563371113857
4|0,72437499999999999|0,99928526644249838
5|0,72383666666666668|0,99862516493647746
1|0,75490166666666669|0,99972552745724108
2|0,7428366666666667|0,99994915553707187
3|0,73226000000000002|0,99971707554953315
4|0,72636999999999996|0,99921490451265027
5|0,72108166666666662|0,99866223887326833
