simulation_run|channel_efficiency|fairness_index
1|0,49099181666666669|0,99999982638313178
2|0,59028020000000003|0,99539011016900203
3|0,70985506666666676|0,99781764770124926
4|0,80046911666666665|0,99852133246990904
5|0,86363626666666671|0,99898399513063441
1|0,49058265000000001|0,99999993739361825
2|0,58927364999999998|0,99532766031290976
3|0,71023968333333343|0,99765241573689112
4|0,79946256666666671|0,99860800322033638
5|0,86289158333333338|0,99892524360963375
1|0,49069721666666666|0,99999779701088742
2|0,5895273333333334|0,99527244201583231
3|0,71028878333333334|0,99768711047308645
4|0,80010904999999999|0,99881050240930125
5|0,86193413333333346|0,99900218822174081
1|0,49077904999999999|0,99999565583220584
2|0,59062389999999998|0,99560726238258923
3|0,71023968333333343|0,99771412007140414
4|0,79929071666666673|0,99850237114007967
5|0,86352169999999995|0,99906953293062895
1|0,49023076666666665|0,99999992866555454
2|0,59068936666666672|0,9954856756561723
3|0,70918403333333335|0,99769157700802968
4|0,80025634999999995|0,99858678904999354
5|0,86224509999999999|0,99884709662057536
1|0,49032078333333334|0,99999948496520952
2|0,59004288333333332|0,99544303687324776
3|0,70942953333333336|0,9977825585197343
4|0,80015815000000001|0,99865453784731828
5|0,86056751666666675|0,99894782567772111
1|0,49144189999999999|0,99999992901672141
2|0,59044386666666671|0,99543183140029257
3|0,71102528333333337|0,99766070403701701
4|0,80010086666666669|0,99856631268269447
5|0,86214690000000005|0,99907580028552068
1|0,49155646666666669|0,99999160910071683
2|0,59037021666666667|0,99568345814562764
3|0,71007601666666664|0,99772844002995109
4|0,80071461666666677|0,99842037018518959
5|0,86210598333333333|0,99887870467502882
1|0,49161375000000002|0,99999594322034224
2|0,59047660000000002|0,99552131462239213
3|0,71037061666666668|0,99755782428076889
4|0,80080463333333329|0,99867637725120062
5|0,86383266666666669|0,99879328844370796
1|0,4904599|0,99999999888644031
2|0,59113945000000001|0,99552656694767816
3|0,71009238333333335|0,99773556952236853
4|0,79912704999999995|0,99864975134716527
5|0,86044476666666669|0,99888440080676344
