simulation_run|channel_efficiency|fairness_index
1|0,53500833333333342|0,79879832574137777
2|0,594275|0,85251376423748626
3|0,64748333333333341|0,99138322857384453
4|0,74795|0,35921858669980228
5|0,82891666666666675|0,23230674214948535
1|0,51976666666666671|0,83702560294255224
2|0,64920833333333339|0,97813427716518819
3|0,64156666666666673|0,99385886310020055
4|0,73912500000000003|0,24353610949754725
5|0,82858333333333334|0,23883002403006212
1|0,51010833333333339|0,88371434796749671
2|0,64249999999999996|0,86236869070430233
3|0,63093333333333335|0,99489434510119013
4|0,74004999999999999|0,35586687913129272
5|0,82733333333333337|0,28117217252090959
1|0,5517333333333333|0,79386023440298337
2|0,58784999999999998|0,8994640191419504
3|0,64513333333333334|0,9891535804871161
4|0,746475|0,3608902900075186
5|0,82850000000000001|0,20609683068724907
1|0,50353333333333339|0,94311305455152272
2|0,6540083333333333|0,89177046517443148
3|0,63450833333333334|0,99356292717176586
4|0,74437500000000001|0,25670061148112833
5|0,82620833333333343|0,20484437197131497
1|0,50021666666666675|0,99191880996633863
2|0,67472500000000002|0,89948758361675729
3|0,63553333333333339|0,99083694779365183
4|0,74827500000000002|0,26357131044574844
5|0,82020833333333332|0,33919975270564123
1|0,50907500000000006|0,89601404520495931
2|0,69634166666666664|0,95400327953547515
3|0,63077499999999997|0,99260199675416172
4|0,74434999999999996|0,31345094016908731
5|0,83099999999999996|0,22507814296604664
1|0,50465000000000004|0,91864045857815657
2|0,57068333333333332|0,89055749769316017
3|0,64593333333333336|0,99152488844631925
4|0,74787499999999996|0,39610164809531934
5|0,83091666666666664|0,20446113770806326
1|0,49554166666666666|0,93340918996873323
2|0,53812499999999996|0,89068762787619582
3|0,63944999999999996|0,9966204596843149
4|0,74270000000000003|0,34010458239851893
5|0,83016666666666672|0,22309193440786129
1|0,52642500000000003|0,80103811156668936
2|0,54239166666666672|0,83488708947744494
3|0,63990000000000002|0,99276031204464243
4|0,74732500000000002|0,27544857383619609
5|0,82858333333333334|0,20998198751041167
