simulation_run|channel_efficiency|fairness_index
1|0,94626333333333335|0,99999870539300573
2|0,95845499999999995|0,99998756143803635
3|0,96089333333333338|0,99992526719064434
4|0,94480666666666668|0,99976102417287482
5|0,90161333333333338|0,999208536353133
1|0,94534499999999999|0,99998190229018979
2|0,95861333333333332|0,99994117286947215
3|0,95763166666666666|0,99979537124251538
4|0,94474333333333338|0,99965023882145232
5|0,90249999999999997|0,99940162634789109
1|0,94559833333333343|0,99999466066503129
2|0,95779000000000003|0,99999602546566779
3|0,96016500000000005|0,99975398690818995
4|0,94455333333333336|0,99974996744021261
5|0,90028333333333332|0,99931681495624269
1|0,94632666666666676|0,99999802475820021
2|0,95832833333333345|0,99997257811422524
3|0,95902500000000002|0,99988074553681028
4|0,94474333333333338|0,99968706553977504
5|0,89888999999999997|0,99934840843838546
1|0,94581999999999999|0,99998966939647493
2|0,95870833333333338|0,99999078862453028
3|0,95921500000000004|0,99989163664013891
4|0,9439833333333334|0,99986001628299159
5|0,90259500000000004|0,99950920618167505
1|0,94581999999999999|0,9999974173291083
2|0,95782166666666668|0,99997191954108533
3|0,96136833333333338|0,99984245955950368
4|0,94638999999999995|0,99966939177111391
5|0,89933333333333343|0,99901584751066508
1|0,94581999999999999|0,99999802264140181
2|0,95731500000000003|0,9999663578989888
3|0,96003833333333344|0,99989530325431586
4|0,94543999999999995|0,99962201494349001
5|0,90034666666666663|0,9991882085672712
1|0,9454083333333333|0,9999819047148123
2|0,95816999999999997|0,99995380896160679
3|0,95880333333333334|0,99992976169586223
4|0,94474333333333338|0,99984816492135642
5|0,90154999999999996|0,9991655065344125
1|0,94651666666666667|0,99999955227848281
2|0,95816999999999997|0,99997404459354655
3|0,96048166666666679|0,99993777681312968
4|0,94490166666666664|0,9998178350666479
5|0,90234166666666671|0,99952147079370957
1|0,94613666666666674|0,9999917150430041
2|0,95870833333333338|0,99997967803097232
3|0,95886666666666676|0,99990626462216059
4|0,94566166666666673|0,99977406397834601
5|0,90265833333333334|0,99918105486029707
