simulation_run|channel_efficiency|fairness_index
1|0,98198363333333338|0,50001666708333337
2|0,98196726666666667|0,5
3|0,98198363333333338|0,50001666708333337
4|0,98198363333333338|0,50001666708333337
5|0,73182731666666667|0,89911723434425117
6|0,58401176666666677|0,6894881914522164
7|0,91482301666666677|0,80466542497817983
8|0,86602579999999996|0,99895653230390902
9|0,71087798333333341|0,9196944795236156
10|0,55715406666666667|0,6912713525331885
11|0,92267083333333344|0,90069847719995455
12|0,87476560000000003|0,98896741161861335
13|0,51250580000000001|0,68205280241769928
14|0,90310448333333337|0,58543692958535543
15|0,80468353333333342|0,75239673583731015
16|0,90098500000000004|0,52127809178908069
17|0,78501080000000001|0,61213267531463522
18|0,90712250000000005|0,73968266951748352
1|0,98198363333333338|0,50001666708333337
2|0,98197544999999997|0,50000833350694451
3|0,98198363333333338|0,50001666708333337
4|0,98199181666666668|0,50003333461806077
5|0,73330850000000003|0,90056826739459805
6|0,58394630000000003|0,68938972028406076
7|0,91542858333333343|0,8032405681580902
8|0,86597670000000004|0,99887795125817525
9|0,71033788333333336|0,92345452548933404
10|0,55426534999999999|0,69627543211850851
11|0,92267083333333344|0,90192442796416317
12|0,87495381666666672|0,98845940597235216
13|0,51259581666666665|0,68356620134956836
14|0,9033745333333334|0,58629937329256188
15|0,80537911666666673|0,75248147113294084
16|0,90019121666666668|0,51985851129963334
17|0,78775221666666662|0,61866257398589541
18|0,9067624333333334|0,738639108045824
1|0,98198363333333338|0,50001666708333337
2|0,98197544999999997|0,50000833350694451
3|0,98199181666666668|0,5001250165627148
4|0,98199181666666668|0,50003333461806077
5|0,73269474999999995|0,90026106017566287
6|0,58365988333333341|0,68884563149914479
7|0,91414379999999995|0,80574107420252949
8|0,86600943333333336|0,99894043299983071
9|0,71025605000000003|0,92390815835111828
10|0,55587746666666671|0,692986950527408
11|0,92181158333333335|0,89990745600422151
12|0,87456101666666664|0,9883007857097974
13|0,51604918333333338|0,69217679896158524
14|0,90411921666666673|0,58486453408942385
15|0,80475718333333335|0,75151774127836957
16|0,90007665000000003|0,52156412113892192
17|0,78624648333333336|0,62105979919731324
18|0,90515031666666679|0,74089071852327204
1|0,98198363333333338|0,50001666708333337
2|0,98197544999999997|0,50000833350694451
3|0,98198363333333338|0,50001666708333337
